Datas,Gangwon
01/20/2020,0
01/21/2020,0
01/22/2020,0
01/23/2020,0
01/24/2020,0
01/25/2020,0
01/26/2020,0
01/27/2020,0
01/28/2020,0
01/29/2020,0
01/30/2020,0
01/31/2020,0
02/01/2020,0
02/02/2020,0
02/03/2020,0
02/04/2020,0
02/05/2020,0
02/06/2020,0
02/07/2020,0
02/08/2020,0
02/09/2020,0
02/10/2020,0
02/11/2020,0
02/12/2020,0
02/13/2020,0
02/14/2020,0
02/15/2020,0
02/16/2020,0
02/17/2020,0
02/18/2020,0
02/19/2020,0
02/20/2020,0
02/21/2020,0
02/22/2020,0
02/23/2020,6
02/24/2020,0
02/25/2020,0
02/26/2020,0
02/27/2020,0
02/28/2020,0
02/29/2020,1
03/01/2020,0
03/02/2020,12
03/03/2020,1
03/04/2020,1
03/05/2020,2
03/06/2020,2
03/07/2020,1
03/08/2020,1
03/09/2020,1
03/10/2020,0
03/11/2020,1
03/12/2020,0
03/13/2020,0
03/14/2020,0
03/15/2020,0
03/16/2020,0
03/17/2020,0
03/18/2020,1
03/19/2020,0
03/20/2020,0
03/21/2020,0
03/22/2020,0
03/23/2020,0
03/24/2020,0
03/25/2020,1
03/26/2020,0
03/27/2020,0
03/28/2020,1
03/29/2020,2
03/30/2020,2
03/31/2020,0
04/01/2020,2
04/02/2020,1
04/03/2020,2
04/04/2020,1
04/05/2020,3
04/06/2020,0
04/07/2020,2
04/08/2020,2
04/09/2020,0
04/10/2020,0
04/11/2020,0
04/12/2020,0
04/13/2020,0
04/14/2020,0
04/15/2020,2
04/16/2020,1
04/17/2020,0
04/18/2020,1
04/19/2020,0
04/20/2020,0
04/21/2020,0
04/22/2020,0
04/23/2020,0
04/24/2020,0
04/25/2020,0
04/26/2020,0
04/27/2020,0
04/28/2020,0
04/29/2020,0
04/30/2020,0
05/01/2020,0
05/02/2020,0
05/03/2020,0
05/04/2020,0
05/05/2020,0
05/06/2020,0
05/07/2020,0
05/08/2020,0
05/09/2020,0
05/10/2020,0
05/11/2020,1
05/12/2020,0
05/13/2020,0
05/14/2020,1
05/15/2020,0
05/16/2020,0
05/17/2020,0
05/18/2020,0
05/19/2020,0
05/20/2020,0
05/21/2020,0
05/22/2020,0
05/23/2020,0
05/24/2020,1
05/25/2020,0
05/26/2020,0
05/27/2020,0
05/28/2020,0
05/29/2020,0
05/30/2020,1
05/31/2020,0
06/01/2020,0
06/02/2020,0
06/03/2020,0
06/04/2020,0
06/05/2020,0
06/06/2020,1
06/07/2020,0
06/08/2020,0
06/09/2020,0
06/10/2020,1
06/11/2020,0
06/12/2020,0
06/13/2020,0
06/14/2020,1
06/15/2020,0
06/16/2020,0
06/17/2020,0
06/18/2020,0
06/19/2020,0
06/20/2020,0
06/21/2020,2
06/22/2020,0
06/23/2020,0
06/24/2020,1
06/25/2020,0
06/26/2020,1
06/27/2020,0
06/28/2020,0
06/29/2020,0
06/30/2020,1
07/01/2020,0
07/02/2020,0
07/03/2020,0
07/04/2020,0
07/05/2020,1
07/06/2020,1
07/07/2020,0
07/08/2020,0
07/09/2020,0
07/10/2020,0
07/11/2020,0
07/12/2020,0
07/13/2020,2
07/14/2020,0
07/15/2020,0
07/16/2020,3
07/17/2020,0
07/18/2020,0
07/19/2020,0
07/20/2020,0
07/21/2020,0
07/22/2020,0
07/23/2020,0
07/24/2020,0
07/25/2020,0
07/26/2020,0
07/27/2020,0
07/28/2020,0
07/29/2020,0
07/30/2020,0
07/31/2020,2
08/01/2020,0
08/02/2020,0
08/03/2020,0
08/04/2020,0
08/05/2020,1
08/06/2020,2
08/07/2020,0
08/08/2020,0
08/09/2020,0
08/10/2020,0
08/11/2020,0
08/12/2020,0
